Name,Notes,slide
Paraffin Tissue Section - Human Adult Normal: Spinal Cord,http://www.biochain.com/product/paraffin-tissue-section-human-adult-normal-spinal-cord/,T2234234-C207012
Paraffin Tissue Section - Human Adult Normal: Spleen,http://www.biochain.com/product/paraffin-tissue-section-human-adult-normal-spleen/,T2234246-C504420
Paraffin Tissue Section - Human Adult Normal: Stomach,http://www.biochain.com/product/paraffin-tissue-section-human-adult-normal-stomach/,T2234248
Paraffin Tissue Section - Human Adult Normal: Testis,http://www.biochain.com/product/paraffin-tissue-section-human-adult-normal-testis/,T2234260-C404065
Paraffin Tissue Section - Human Adult Normal: Throat,http://www.biochain.com/product/paraffin-tissue-section-human-adult-normal-throat/,T2234263-C504050
Paraffin Tissue Section - Human Adult Normal: Tongue,http://www.biochain.com/product/paraffin-tissue-section-human-adult-normal-tongue/,T2234267-A603597
Paraffin Tissue Section - Human Adult Normal: Uterus,http://www.biochain.com/product/paraffin-tissue-section-human-adult-normal-uterus/,T2234274-B402224
Paraffin Tissue Section - Human Adult Normal: Vagina,http://www.biochain.com/product/paraffin-tissue-section-human-adult-normal-vagina/,T2234283-C302071
Paraffin Tissue Section - Human Abdominal Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-abdominal-tumor/,T2235001-A706117
Paraffin Tissue Section - Human Abdominal Tumor: Cysto Teratocarcinoid,http://www.biochain.com/product/paraffin-tissue-section-human-abdominal-tumor-cysto-teratocarcinoid/,T2235001-1-B502219
Paraffin Tissue Section - Human Abdominal Tumor: Malignant Mesothelioma,http://www.biochain.com/product/paraffin-tissue-section-human-abdominal-tumor-malignant-mesothelioma/,T2235001-6-B903059
Paraffin Tissue Section - Human Abdominal Tumor: Neuofibromatosis,http://www.biochain.com/product/paraffin-tissue-section-human-abdominal-tumor-neuofibromatosis/,T2235001-7-A706018
Paraffin Tissue Section - Human Adipose Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-adipose-tumor/,T2235003-A310089
Paraffin Tissue Section - Human Adipose Tumor: Lipoma,http://www.biochain.com/product/paraffin-tissue-section-human-adipose-tumor-lipoma/,T2235003-1-A512346
Paraffin Tissue Section - Human Adrenal Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-adrenal-tumor/,T2235004-B611117
Paraffin Tissue Section - Human Adrenal Tumor: Adenoma,http://www.biochain.com/product/paraffin-tissue-section-human-adrenal-tumor-adenoma/,T2235004-1-B912004
Paraffin Tissue Section - Human Adrenal Tumor: Adrenal Pheochromocytoma,http://www.biochain.com/product/paraffin-tissue-section-human-adrenal-tumor-adrenal-pheochromocytoma/,T2235004-2-B911011
Paraffin Tissue Section - Human Adrenal Tumor: Myelolipoma,http://www.biochain.com/product/paraffin-tissue-section-human-adrenal-tumor-myelolipoma/,T2235004-3
Paraffin Tissue Section - Human Appendix Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-appendix-tumor/,T2235006
Paraffin Tissue Section - Human Appendix Tumor: Adenocarcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-appendix-tumor-adenocarcinoma/,T2235006-1-A907171
Paraffin Tissue Section - Human Bladder Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-bladder-tumor/,T2235010-B603153
Paraffin Tissue Section - Human Bladder Tumor: Papillary Transitional Cell Carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-bladder-tumor-papillary-transitional-cell-carcinoma/,T2235010-1
Paraffin Tissue Section - Human Angioma,http://www.biochain.com/product/paraffin-tissue-section-human-angioma/,T2235011-A911109
Paraffin Tissue Section - Human Angioma: Cavernous Hemangioma,http://www.biochain.com/product/paraffin-tissue-section-human-angioma-cavernous-hemangioma/,T2235011-1-A210020
Paraffin Tissue Section - Human Angioma: Glomus Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-angioma-glomus-tumor/,T2235011-2
Paraffin Tissue Section - Human Angioma: Hemangioma,http://www.biochain.com/product/paraffin-tissue-section-human-angioma-hemangioma/,T2235011-3-A706043
Paraffin Tissue Section - Human Bone Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-bone-tumor/,T2235023-B302036
Paraffin Tissue Section - Human Bone Tumor: Chondroblastic Osteosarcoma,http://www.biochain.com/product/paraffin-tissue-section-human-bone-tumor-chondroblastic-osteosarcoma/,T2235023-1
Paraffin Tissue Section - Human Bone Tumor: Chondroma,http://www.biochain.com/product/paraffin-tissue-section-human-bone-tumor-chondroma/,T2235023-2-A505208
Paraffin Tissue Section - Human Bone Tumor: Chondrosarcoma,http://www.biochain.com/product/paraffin-tissue-section-human-bone-tumor-chondrosarcoma/,T2235023-3-B302036
"Paraffin Tissue Section - Human Bone Tumor: Chondrosarcoma, Grade I - II",http://www.biochain.com/product/paraffin-tissue-section-human-bone-tumor-chondrosarcoma-grade-i-ii/,T2235023-4-B901137
"Paraffin Tissue Section - Human Bone Tumor: Chondrosarcoma, Well Differentiated",http://www.biochain.com/product/paraffin-tissue-section-human-bone-tumor-chondrosarcoma-well-differentiated/,T2235023-5-A407039
"Paraffin Tissue Section - Human Bone Tumor: Giant Cell Tumor, Grade I-II",http://www.biochain.com/product/paraffin-tissue-section-human-bone-tumor-giant-cell-tumor-grade-i-ii/,T2235023-6-A603570
"Paraffin Tissue Section - Human Bone Tumor: Myeloma, Plasmacytic",http://www.biochain.com/product/paraffin-tissue-section-human-bone-tumor-myeloma-plasmacytic/,T2235023-7
Paraffin Tissue Section - Human Bone Tumor: Synovial Sarcoma,http://www.biochain.com/product/paraffin-tissue-section-human-bone-tumor-synovial-sarcoma/,T2235023-8-A405088
Paraffin Tissue Section - Human Brain Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor/,T2235035-C401063
Paraffin Tissue Section - Human Brain Tumor: Astrocytoma Grade I,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-astrocytoma-grade-i/,T2235035-1-A606029
Paraffin Tissue Section - Human Brain Tumor: Meningioma (Fibrous),http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-meningioma-fibrous/,T2235035-10-C101195
Paraffin Tissue Section - Human Brain Tumor: Meningioma (Necrotic),http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-meningioma-necrotic/,T2235035-11-A611074
"Paraffin Tissue Section - Human Brain Tumor: Oligodendroglioma and Astrocytoma, Mixed Glioma",http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-oligodendroglioma-and-astrocytoma-mixed-glioma/,T2235035-12-A611075
Paraffin Tissue Section - Human Brain Tumor: Pilocytic Astrocytoma,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-pilocytic-astrocytoma/,T2235035-13-A611076
Paraffin Tissue Section - Human Brain Tumor: Pituitary Adenoma with Oncocytic Cell Type,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-pituitary-adenoma-with-oncocytic-cell-type/,T2235035-14-B511070
Paraffin Tissue Section - Human Brain Tumor: Astrocytoma Grade II,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-astrocytoma-grade-ii/,T2235035-2
Paraffin Tissue Section - Human Brain Tumor: Astrocytoma Grade III,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-astrocytoma-grade-iii/,T2235035-3
Paraffin Tissue Section - Human Brain Tumor: Craniopharyngioma,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-craniopharyngioma/,T2235035-4-A611067
Paraffin Tissue Section - Human Brain Tumor: Ependymal Glioma,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-ependymal-glioma/,T2235035-5-A611068
Paraffin Tissue Section - Human Brain Tumor: Epndymoma,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-epndymoma/,T2235035-6-A611069
Paraffin Tissue Section - Human Brain Tumor: Gliocytoma,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-gliocytoma/,T2235035-7-C108084
Paraffin Tissue Section - Human Brain Tumor: Malignant Oligodendroglioma,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-malignant-oligodendroglioma/,T2235035-8-A611071
Paraffin Tissue Section - Human Brain Tumor: Meningioma,http://www.biochain.com/product/paraffin-tissue-section-human-brain-tumor-meningioma/,T2235035-9
Paraffin Tissue Section - Human Breast Tumor: Fibroadenoma,http://www.biochain.com/product/paraffin-tissue-section-human-breast-tumor-fibroadenoma/,T2235086-1-A802135
Paraffin Tissue Section - Human Breast Tumor: Invasive ductal carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-breast-tumor-invasive-ductal-carcinoma/,T2235086-2-A408121
Paraffin Tissue Section - Human Breast Tumor: Lobular carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-breast-tumor-lobular-carcinoma/,T2235086-3-B401316
Paraffin Tissue Section - Human Breast Tumor: Male Breast Hyperplasia,http://www.biochain.com/product/paraffin-tissue-section-human-breast-tumor-male-breast-hyperplasia/,T2235086-4-A603541
Paraffin Tissue Section - Human Breast Tumor: Medullarycarcinoma of Breast,http://www.biochain.com/product/paraffin-tissue-section-human-breast-tumor-medullarycarcinoma-of-breast/,T2235086-5-B901020
Paraffin Tissue Section - Human Breast Tumor: Mucous Adenocarcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-breast-tumor-mucous-adenocarcinoma/,T2235086-6-A808013
CancerSeq&trade; Paraffin Tissue Tumor Block: Breast,http://www.biochain.com/product/cancerseq-paraffin-tissue-tumor-block-breast/,T2235086-SB
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast/,T2235086-SC-B906118
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-2/,T2235086-SC-B906119
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-3/,T2235086-SC-B906120
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-4/,T2235086-SC-B906121
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-5/,T2235086-SC-B906123
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-6/,T2235086-SC-B906124
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-7/,T2235086-SC-B906125
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-8/,T2235086-SC-B906126
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-9/,T2235086-SC-B906127
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-10/,T2235086-SC-B906128
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-11/,T2235086-SC-B906131
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-12/,T2235086-SC-B906132
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-13/,T2235086-SC-B906133
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-14/,T2235086-SC-B906135
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Breast,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-breast-15/,T2235086-SC-B906136
CancerSeq&trade;  Paraffin Tissue Tumor Slides: Breast,http://www.biochain.com/product/cancerseq-paraffin-tissue-tumor-slides-breast/,T2235086-ST
Paraffin Tissue Section - Human Colon Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-colon-tumor/,T2235090
Paraffin Tissue Section - Human Colon Tumor: Adenocarcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-colon-tumor-adenocarcinoma/,T2235090-1
Paraffin Tissue Section - Human Colon Tumor: Adenocarcinoma (Mucoid),http://www.biochain.com/product/paraffin-tissue-section-human-colon-tumor-adenocarcinoma-mucoid/,T2235090-2-C102059
Paraffin Tissue Section - Human Colon Tumor: Adenocarcinoma (Ulcer),http://www.biochain.com/product/paraffin-tissue-section-human-colon-tumor-adenocarcinoma-ulcer/,T2235090-3-B707001
Paraffin Tissue Section - Human Colon Tumor: Diffuse Type Non-Hodgkin's Lymphoma,http://www.biochain.com/product/paraffin-tissue-section-human-colon-tumor-diffuse-type-non-hodgkins-lymphoma/,T2235090-8-B603152
Paraffin Tissue Section - Human Colon Tumor: Non-hodgkin's lymphoma,http://www.biochain.com/product/paraffin-tissue-section-human-colon-tumor-non-hodgkins-lymphoma/,T2235090-9-B304112
CancerSeq&trade;  Paraffin Tissue Tumor Block: Colon,http://www.biochain.com/product/cancerseq-paraffin-tissue-tumor-block-colon/,T2235090-SB
CancerSeq&trade; Paraffin Tissue Tumor Slides: Colon,http://www.biochain.com/product/cancerseq-paraffin-tissue-tumor-slides-colon/,T2235090-ST-B811039
"Paraffin Tissue Section - Human Esophagus Tumor: Squamous Cell Carcinoma, Moderately Differentiated",http://www.biochain.com/product/paraffin-tissue-section-human-esophagus-tumor-squamous-cell-carcinoma-moderately-differentiated/,T2235106-3-A405172
"Paraffin Tissue Section - Human Esophagus Tumor: Squamous Cell Carcinoma, Poorly Differentiated",http://www.biochain.com/product/paraffin-tissue-section-human-esophagus-tumor-squamous-cell-carcinoma-poorly-differentiated/,T2235106-4-A404071
Paraffin Tissue Section - Human Gallbladder Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-gallbladder-tumor/,T2235118
"Paraffin Tissue Section - Human Gallbladder Tumor: Adenocarcinoma, Moderately Differentiated",http://www.biochain.com/product/paraffin-tissue-section-human-gallbladder-tumor-adenocarcinoma-moderately-differentiated/,T2235118-1-A505212
"Paraffin Tissue Section - Human Gallbladder Tumor: Adenocarcinoma, Poorly Differentiated",http://www.biochain.com/product/paraffin-tissue-section-human-gallbladder-tumor-adenocarcinoma-poorly-differentiated/,T2235118-2
"Paraffin Tissue Section - Human Gallbladder Tumor: Adenocarcinoma, Well Differentiated",http://www.biochain.com/product/paraffin-tissue-section-human-gallbladder-tumor-adenocarcinoma-well-differentiated/,T2235118-3-A505236
Paraffin Tissue Section - Human Kidney Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-kidney-tumor/,T2235142
Paraffin Tissue Section - Human Kidney Tumor: Clear cell carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-kidney-tumor-clear-cell-carcinoma/,T2235142-2-B808058
Paraffin Tissue Section - Human Kidney Tumor: Papillary Renal Cell Carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-kidney-tumor-papillary-renal-cell-carcinoma/,T2235142-4-B605074
Paraffin Tissue Section - Human Kidney Tumor: Renal Cell Carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-kidney-tumor-renal-cell-carcinoma/,T2235142-5-B807077
Paraffin Tissue Section - Human Kidney Tumor: Wilms' Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-kidney-tumor-wilms-tumor/,T2235142-7-A411228
Paraffin Tissue Section - Human Liver Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-liver-tumor/,T2235149
Paraffin Tissue Section - Human Liver Tumor: Adenocarcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-liver-tumor-adenocarcinoma/,T2235149-1-B710090
Paraffin Tissue Section - Human Liver Tumor: Cholangiocellular Carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-liver-tumor-cholangiocellular-carcinoma/,T2235149-2-A805133
Paraffin Tissue Section - Human Liver Tumor: Nodulous Hepatocellular Carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-liver-tumor-nodulous-hepatocellular-carcinoma/,T2235149-5
Paraffin Tissue Section - Human Lung Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-lung-tumor/,T2235152-C409249
Paraffin Tissue Section - Human Lung Tumor: Adenocarcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-lung-tumor-adenocarcinoma/,T2235152-1-B709150
Paraffin Tissue Section - Human Lung Tumor: Squamous Cell Carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-lung-tumor-squamous-cell-carcinoma/,T2235152-10
Paraffin Tissue Section - Human Lung Tumor: Large Cell Carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-lung-tumor-large-cell-carcinoma/,T2235152-6-B910043
Paraffin Tissue Section - Human Lung Tumor: Small Cell Carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-lung-tumor-small-cell-carcinoma/,T2235152-9-C408204
CancerSeq&trade;  Paraffin Tissue Tumor Block: Lung,http://www.biochain.com/product/cancerseq-paraffin-tissue-tumor-block-lung/,T2235152-SB
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung/,T2235152-SC-B906042
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-2/,T2235152-SC-B906043
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-3/,T2235152-SC-B906046
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-4/,T2235152-SC-B911205
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-5/,T2235152-SC-B911206
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-6/,T2235152-SC-B911243
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-7/,T2235152-SC-B911244
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-8/,T2235152-SC-C101100
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-9/,T2235152-SC-C101103
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-10/,T2235152-SC-C101104
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-11/,T2235152-SC-C101105
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-12/,T2235152-SC-C101106
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-13/,T2235152-SC-C101108
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-14/,T2235152-SC-C101109
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-15/,T2235152-SC-C101110
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-16/,T2235152-SC-C101111
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-17/,T2235152-SC-C101113
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-18/,T2235152-SC-C101115
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-19/,T2235152-SC-C101116
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-20/,T2235152-SC-C101118
CancerSeq&trade;  Plus Paraffin Tissue Tumor Section: Lung,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-section-lung-21/,T2235152-SC-C101119
CancerSeq&trade; Paraffin Tissue Tumor Slides: Lung,http://www.biochain.com/product/cancerseq-paraffin-tissue-tumor-slides-lung/,T2235152-ST
Paraffin Tissue Section - Human Lymph Nodes Tumor: Non-Hodgkin's Lymphoma,http://www.biochain.com/product/paraffin-tissue-section-human-lymph-nodes-tumor-non-hodgkins-lymphoma/,T2235161-1-B512005
"Paraffin Tissue Section - Human Lymph Nodes Tumor: Non-Hodgkin's Lymphoma, T Cell",http://www.biochain.com/product/paraffin-tissue-section-human-lymph-nodes-tumor-non-hodgkins-lymphoma-t-cell/,T2235161-2-B810097
Paraffin Tissue Section - Human Lymph Nodes Tumor: Reactive Hyperplasia of Lymph Node,http://www.biochain.com/product/paraffin-tissue-section-human-lymph-nodes-tumor-reactive-hyperplasia-of-lymph-node/,T2235161-3-C502167
Paraffin Tissue Section - Human Ovary Tumor: Mucous Papillary Cystoadenocarcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-ovary-tumor-mucous-papillary-cystoadenocarcinoma/,T2235183-3-C109262
Paraffin Tissue Section - Human Pancreas Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-pancreas-tumor/,T2235188-C202060
Paraffin Tissue Section - Human Pancreas Tumor: Adenocarcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-pancreas-tumor-adenocarcinoma/,T2235188-1-B811141
"Paraffin Tissue Section - Human Pancreas Tumor: Adenocarcinoma, Moderately Differentiated",http://www.biochain.com/product/paraffin-tissue-section-human-pancreas-tumor-adenocarcinoma-moderately-differentiated/,T2235188-2
Paraffin Tissue Section - Human Pancreas Tumor: Islet Cell Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-pancreas-tumor-islet-cell-tumor/,T2235188-3-B811115
Paraffin Tissue Section - Human Parathyroid Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-parathyroid-tumor/,T2235189-C511386
Paraffin Tissue Section - Human Parotid Tumor: Pleomorphic Adenoma,http://www.biochain.com/product/paraffin-tissue-section-human-parotid-tumor-pleomorphic-adenoma/,T2235190-5
Paraffin Tissue Section - Human Pelvic Tumor: Malignant Mesothelioma,http://www.biochain.com/product/paraffin-tissue-section-human-pelvic-tumor-malignant-mesothelioma/,T2235193-2-B102012
Paraffin Tissue Section - Human Prostate Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-prostate-tumor/,T2235201-C102061
Paraffin Tissue Section - Human Prostate Tumor: Adenocarcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-prostate-tumor-adenocarcinoma/,T2235201-1-C404062
Paraffin Tissue Section - Human Prostate Tumor: Neoplasia of Prostate,http://www.biochain.com/product/paraffin-tissue-section-human-prostate-tumor-neoplasia-of-prostate/,T2235201-2-B912131
Paraffin Tissue Section - Human Skin Tumor,http://www.biochain.com/product/paraffin-tissue-section-human-skin-tumor/,T2235218-B101193
Paraffin Tissue Section - Human Skin Tumor: Basal Cell Carcinoma (Face),http://www.biochain.com/product/paraffin-tissue-section-human-skin-tumor-basal-cell-carcinoma-face/,T2235218-1-C103529
Paraffin Tissue Section - Human Skin Tumor: Fibrosarcoma,http://www.biochain.com/product/paraffin-tissue-section-human-skin-tumor-fibrosarcoma/,T2235218-2-A809049
Paraffin Tissue Section - Human Skin Tumor: Malignant Melanoma,http://www.biochain.com/product/paraffin-tissue-section-human-skin-tumor-malignant-melanoma/,T2235218-3-B801160
Paraffin Tissue Section - Human Skin Tumor: Squamous Cell Carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-skin-tumor-squamous-cell-carcinoma/,T2235218-7-A505494
"Paraffin Tissue Section - Human Skin Tumor: Squamous Cell Carcinoma , Well Differentiated",http://www.biochain.com/product/paraffin-tissue-section-human-skin-tumor-squamous-cell-carcinoma-well-differentiated/,T2235218-8-B502218
CancerSeq&trade; Paraffin Tissue Tumor Block: Skin Melanoma,http://www.biochain.com/product/cancerseq-paraffin-tissue-tumor-block-skin-melanoma/,T2235218A-SB-B702060
CancerSeq&trade; Paraffin Tissue Tumor Slides: Skin Melanoma,http://www.biochain.com/product/cancerseq-paraffin-tissue-tumor-slides-skin-melanoma/,T2235218A-ST-B702060
Paraffin Tissue Section - Human Small Intestine Tumor: Duodenum Adenocarcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-small-intestine-tumor-duodenum-adenocarcinoma/,T2235226-1-A810164
Paraffin Tissue Section - Human Stomach Tumor: Adenocarcinoma Poorly Differentiated,http://www.biochain.com/product/paraffin-tissue-section-human-stomach-tumor-adenocarcinoma-poorly-differentiated/,T2235248-1-B104072
Paraffin Tissue Section - Human Stomach Tumor: Squamous Cell Carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-stomach-tumor-squamous-cell-carcinoma/,T2235248-10-A703302
"Paraffin Tissue Section - Human Stomach Tumor: Adenocarcinoma, Moderately Differentiated",http://www.biochain.com/product/paraffin-tissue-section-human-stomach-tumor-adenocarcinoma-moderately-differentiated/,T2235248-2
"Paraffin Tissue Section - Human Stomach Tumor: Adenocarcinoma, Well Differentiated",http://www.biochain.com/product/paraffin-tissue-section-human-stomach-tumor-adenocarcinoma-well-differentiated/,T2235248-3
Paraffin Tissue Section - Human Stomach Tumor: Signet-Ring Cell Carcinoma,http://www.biochain.com/product/paraffin-tissue-section-human-stomach-tumor-signet-ring-cell-carcinoma/,T2235248-9
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Stomach,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-stomach/,T2235248-SC-B906138
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Stomach,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-stomach-2/,T2235248-SC-B906139
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Stomach,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-stomach-3/,T2235248-SC-B906140
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Stomach,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-stomach-4/,T2235248-SC-B906141
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Stomach,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-stomach-5/,T2235248-SC-B906142
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Stomach,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-stomach-6/,T2235248-SC-B906143
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Stomach,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-stomach-7/,T2235248-SC-B906145
CancerSeq&trade; Plus Paraffin Tissue Tumor Sections: Stomach,http://www.biochain.com/product/cancerseq-plus-paraffin-tissue-tumor-sections-stomach-8/,T2235248-SC-B906146
